# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
spfvmWhBIFw,3741,Super Sami Roll [Any% (Sami's Adventure)] by LoveBot - #ESAWinter22
t8NKruRpJa8,949,Gori: Cuddly Carnage [Demo Any%] by randompinkbunny - #HEK21
0EqXCCo4GrA,21810,Shining Force II [Any%] by BOWIEtheHERO - #ESAWinter21
NN7C4feNaCc,2320,Roblox [Speedrun Medley] by ZooKetra - #HEK21
FxmPJdVtB5o,21721,Golden Sun: The Lost Age [Any% (No S&Q)] by TL_Plexa - #ESAWinter21
800q8LyjBwg,6358,La-Mulana Remake [Any%] by Timopy - #ESAWinter20
x4ps26-sSFM,1729,Star Wars: Jedi Knight - Jedi Academy [Any%] by Vryndar - #HEK21
MxksIBWyGQo,1562,The Inspector Complex Arms [Any%] by havrd - #HEK21
ipIEuenUkxE,1705,140 [All Levels] by Zet - #ESAWinter20
sJgN0pXLXOE,2044,"Duck, Quack, Shoot [10-Person Score Contest] by KingEurope - #ESAWinter26"
7KS0su4OGwg,3323,Arabian Nights [Any% with Dialogues] by Goost - #HEK21
hFeIN35Vg58,1521,Here Comes Niko! [Any%] by Creepr - #ESAWinter22
nE3me_kZnuM,9341,Mirror's Edge [All Achievements] by Hekigan - #HEK21
Fdf2jeGwneU,8400,Jade Empire Any% Special Edition Speedrun - ESA Winter 2019
ju5sNhw5YgQ,2110,Dark Souls [Any%] by catalystz - #ESAWinter23
JUL4k31338s,15002,"Pokémon Soul Silver [Any% (Glitchless, Manipless)] by JTMagicman - #ESAWinter21"
xk4v9EyzLg4,1425,Ice Age: Scrat's Nutty Adventure [Any%] by semmlbroesel - #HEK21
_Nmf1lMK66I,3578,Halo 2 (Master Chief Collection) [Speed Mod] by ibigblue - #HEK21
