# What resolve picks for every row of horaro's 2024-summer out of
# esa-summer-2024-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #45).
uuid,game,category,video_id,tier,title
c9bf5369-fb98-4e54-b543-d537cdf8c870,Half-Life 1,WON Scriptless ,62U92N8WDDc,tag-game-runner,Half-Life 1 [WON Scriptless] by HuthTV - #ESASummer24
c189df53-0eae-487f-bebb-55757d10b4a6,Baldur's Gate 3,Any% All Acts,6qPWdJKtOtU,tag-game-runner,Baldur's Gate 3 [Any% All Acts] by Chronos - #ESASummer24
46d5230b-5a90-4770-962d-ec20f283862b,Cuphead,DLC + Base Game Any%,2KbjjWjNc5g,tag-game-runner,Cuphead [DLC + Base Game Any%] by Kirthar - #ESASummer24
7063fac5-17f3-4da3-aa44-8aea056ad078,Lara Croft and the Guardian of Light,Any% NG+,8d8N6L_WsIo,tag-game-runner,Lara Croft and the Guardian of Light [Any% NG+] by RandomPinkBunny - #ESASummer24
cfc52dfe-bb54-4d0b-a4bb-66583dbbb85e,Tomb Raider: The Last Revelation,Any%,1b7tEq3yMIg,tag-game-runner,Tomb Raider: The Last Revelation [Any%] by Cadarev - #ESASummer24
2e8213a0-97bb-4e5f-b2d1-17312929ee0a,Umihara Kawase,Longest Path,Hyq9nQofrLc,tag-game-runner,Umihara Kawase [Longest Path] by NitrozSR - #ESASummer24
ae2fd94e-8bf1-424d-8521-e2306d0e2bfb,I wanna be the Boshy,"Average-Mode any% (Dark Boshy, No Wrong Warp)",1KfnO5PfCiw,tag-game-runner,"I wanna be the Boshy [Average-Mode any% (Dark Boshy, No Wrong Warp)] by BBF - #ESASummer24"
2b32cdc9-3926-43eb-9597-6a9d47cf5dc7,Vengeful Guardian: Moonrider,Beat the game,2fzHC0r_YyU,tag-game-runner,Vengeful Guardian: Moonrider [Beat the game] by Kirthar - #ESASummer24
a23c4baf-8e53-497e-96ac-4a15d67fe77e,Star Wars Jedi Knight II: Jedi Outcast,Any%,AelbzXvpEio,weak,Star Wars Battlefront II (Classic 2005) [Any% with bonuses] by CaptainEmu - #ESASummer24
11cabf4b-1769-4cb9-a5a1-dee1894546b3,Bluey: The Videogame,Any%,lMR8VCla1PQ,tag-game-runner,Bluey: The Videogame [Any%] by hsblue - #ESASummer24
96a73e6a-c047-42d6-b2df-028628f67b5e,The Legend of Zelda: Ocarina of Time,100%,QqZu_WZ0v3o,tag-game-runner,The Legend of Zelda: Ocarina of Time [100%] by axellarsen - #ESASummer24
a63ea5d4-d383-4eeb-b427-64b3fdd89822,Super Mario 64 Archipelago,Ability Randomizer,Fs5p73JWopI,tag-game-runner,Super Mario 64 Archipelago [Ability Randomizer] by 360Chrism - #ESASummer24
08eb32a0-badb-470d-a08d-13580f9e58f4,Sea of Thieves,Heart of Fire Gauntlet,seiv3mbKPwo,tag-game,Sea of Thieves [Heart of Fire Gauntlet] by micromads - #ESASummer24
cb274075-e221-44b9-adc1-dd9db955d5c7,End of day 7,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
33efc8a6-b1a4-4c98-839f-2d0061555399,Grand Theft Auto: San Andreas,Any% No Major Glitches,vs1ZMebVkH4,tag-game-runner,Grand Theft Auto: San Andreas [Any% No Major Glitches] by Joshimuz - #ESASummer24
5e0e373f-538c-440d-aff9-b1a41801b159,Portal 2,AMC (Coop),NG6G91AUZPk,weak,Ducktales 2 [Any% (easy)] by nintendonatalie - #ESASummer24
2d7cfd76-f9f8-477f-bf7b-3a7684400e87,Grand Poo World 3 (Super Mario Kaizo Hack),Any%,liDQNyuxsxQ,tag-game-runner,Grand Poo World 3 (Super Mario Kaizo Hack) [Any%] by leys3r - #ESASummer24
003c5812-7a56-4612-8ef7-7e6f477a1b19,Super Metroid and A Link to the Past Combo Randomizer,Co-op Randomizer,Ml2skfp6fuM,tag-game,Super Metroid and A Link to the Past Combo Randomizer [Co-op Randomizer] - #ESASummer24
650b5221-aa2a-46c8-a376-65da1c7d221d,Yooka-Laylee and the Impossible Lair,24 Bees,xsS26z5ouo0,tag-game-runner,Yooka-Laylee and the Impossible Lair [24 Bees] by hedweg - #ESASummer24
b79ef332-405d-4d1f-a940-7da0b5d7a394,Anger Foot (itch.io),NG+,gx-2Af2psNY,tag-game-runner,Anger Foot (itch.io) [NG+] by sajiki - #ESASummer24
ea739165-25b3-4b7c-85d3-9c62bf4e8525,Super Mario 64,70 star 70 player relay,CWIA7Zp13yA,tag-game,Super Mario 64 [70 star 70 player relay] - #ESASummer24
