# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
47WrsM-6FLI,820,Dark SASI [Any%] by Fudgecow - #ESASummerOnline
LKUUBk6xReA,1760,Snow Brothers [All Stages (1 Player)] by UnFantasmaMas - #ESASummerOnline
Wb54nb4cJZM,2354,World to the West [Any%] by SeductiveSpatula - #ESASummerOnline
WuWr56ge0QA,791,ESA summer 2017 submission - Tetris Attack V-Hard
FmsQgQMuY9M,13197,Pokémon Crystal [Randomizer (Battleships)] by 360Chrism and SheNanagans_ - #ESASummerOnline
irQKFbJc0G4,6511,South Park  The Stick of Truth - ESA Summer 2018
ebbaGqr1Wdw,1772,Bug Fables: The Everlasting Sapling [Any% (Unrestricted)] by Shigan_ - #ESASummer24
2XqqJe6Z0ho,3604,"Streets of Rage 4 [Arcade (Hardest, Sor3 Skate, S Rank)] by GreenalinkSDA - #ESASummerOnline"
b686aCCdaQk,306,ESA summer 2017 submission - N++ Solo Intro
ge0PS_9BjAo,3500,Soul of the Samurai [Any% True Ending] by vojtas131 and Aeshmah_ - #ESASummer24
Dd7VMyWEk0g,1300,U.N. Squadron [Any% Easy] by Sidarino - #ESASummerOnline
35QMLpQt46A,6087,Pokémon Sword / Shield [Tower of Two Fists (Good Ending)] by eddaket - #ESASummerOnline
hFt8yFEIrqY,935,Super C [Any%] by TypicalFantasyX - #ESASummer24
WT08ASPyuNM,3372,Devastation [Any%] by The__VK - #ESASummerOnline
Uvs2xdpIetY,5702,Sekiro: Shadows Die Twice [All (Mini-)Bosses] by danflesh111 - #ESASummerOnline
LqznkyAbIWU,1621,Bear Party: Adventure [Any%] by Timopy - #ESASummerOnline
l3iqXNHN2pM,3584,Metal Gear Solid 2: Substance [Any%] by MackMcD - #ESASummerOnline
JtrQWQA15jM,6279,Yoshi's New Island [Any%] by RDVvsTheWorld - #ESASummerOnline
Jydv3okG9iY,2834,Mega Man Xtreme 2 [100%] by FocusSight - #ESASummerOnline
NG6G91AUZPk,787,Ducktales 2 [Any% (easy)] by nintendonatalie - #ESASummer24
MV-2HflPXKs,13124,The Legend of Zelda Ocarina of Time Beta Quest [Battleship Bingo] by BaalNocturno - #ESASummer24
5-wllGqaNhM,2544,Spyro: Year of the Dragon [Any%] by Becci_chan - #ESASummerOnline
HYShftf3qaY,5142,Metal Gear Solid [All Bosses (Easy)] by dlimes13 - #ESASummerOnline
_A1xPhdCIMo,2355,The Swapper [Any%] by Zet - #ESASummerOnline
OsEOd1lIBo8,2197,Quake: Arcane Dimensions [Easy Run (Top Floor)] by Sphere - #ESASummer24
h5NqrUapg4k,1557,KAMIKO [Any% - Yamato] by cicada - #ESASummer21
jPJOZqYFYUQ,1345,Black Hills Flood: The Dam Wasn't the Disaster
K9GOoAKfBj0,5773,Wild Columbine Crochet Cardigan Tutorial | How to Crochet a Lightweight Summer Crochet Sweater
D2tz8qr_lSU,8149,Under New Management (2011 - 2017) - History in a Half-Shell
DyRIgbQIpgA,571,Space Quest II: Vohaul's Revenge [Any% No Cheat] by Joka - #ESASummer24
7PemDXyhZH8,1085,Risk of Rain [Any% (Monsoon)] by rythin_sr - #ESASummerOnline
CTdEp3i3p2k,1901,Bad Guys at School [All Missions] by lurven_ - #ESASummer24
yTXy7a_-x88,5866,Resident Evil 4 [Any% (Professional)] by Waifu - #ESASummerOnline
CahyZ-xo4yI,4795,TrackMania Nations Forever [All Flags (No E05)] by Wirtual - #ESASummerOnline
xmYrwveBpuc,1740,#ESASummer18 Speedruns - Tomb Raider: Anniversary [Any%] by Cadarev
rvjz_C22tBo,2059,Super Mario Bros. 2 [All Powerup Mushrooms] by Lui - #ESASummer24
2g8D6A9uo2M,2524,Layers of Fear [Any%] by Clendaria - #ESASummerOnline
Y9fQNqsf13g,3903,Rayman Origins [Any%] by koopsader - #ESASummer21
710HtEmQv-o,3200,Destruction Derby 2 [All Races (Stock Car)] by TweedyJono - #ESASummerOnline
seiv3mbKPwo,1060,Sea of Thieves [Heart of Fire Gauntlet] by micromads - #ESASummer24
dieI1xkmeeI,2966,Rockman 6: Unique Harassment [Any%] by Kuumba_ - #ESASummerOnline
XWBusbTNss8,1105,Slightly Magic [Complete the game] by tinytim78 - #ESASummer24
mjG__Z1b24U,525,ESA summer 2017 submission - Pokemon Puzzle League V-Hard
ihKfreAoBso,2513,Mega Man 2 Relay Race (any%) - #ESASummer24
h1i2PucdP7k,5289,Dissidia Final Fantasy [Any%] by Mizzow and staratar - #ESASummer24
initlItPIfo,708,DuckTales [Any%] by EndySWE - #ESASummerOnline
