Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Sat 28 Jul 2018 03:52:00 +0200;[Hearthstone: League of Explorers](https://www.speedrun.com/leaofexplo#Heroic);[srd_27](https://www.twitch.tv/srd_27);PC;Heroic;;290086890;1:15:53;ESA 2018 (Stream One)
Sat 28 Jul 2018 05:45:00 +0200;[Sonic Forces](https://www.speedrun.com/sonicforces);[Akaraien](https://www.twitch.tv/akaraien);PC;Any%;;290109576;1:03:33;ESA 2018 (Stream One)
Sat 28 Jul 2018 07:00:00 +0200;[Sonic Mania](https://www.speedrun.com/sonicmania);[Argick](https://www.twitch.tv/argick);PC;Sonic & Tails (All Emeralds);;290128380;0:59:32;ESA 2018 (Stream One)
Sat 28 Jul 2018 08:15:00 +0200;[The Legend of Spyro: The Eternal Night](https://www.speedrun.com/tlos2gba);[CDRomatron](https://www.twitch.tv/CDRomatron)|[LoveBot](https://www.twitch.tv/LoveBot);GBA;Any%;Race;290135973;0:30:35;ESA 2018 (Stream One)
Sat 28 Jul 2018 09:06:00 +0200;[Kingdom Hearts Birth by Sleep Final Mix HD](https://www.speedrun.com/khbbsfmhd);[RebelDragon95](https://www.twitch.tv/rebeldragon95);PS4;Any% (Terra Beginner);;290147193;0:50:13;ESA 2018 (Stream One)
Sat 28 Jul 2018 10:19:00 +0200;[Kirby & The Amazing Mirror](https://www.speedrun.com/katam#Any);[Kinnin11](https://www.twitch.tv/kinnin11)|[Sniperwave](https://www.twitch.tv/Sniperwave);GBP;Any% (Co-Op);Co-Op;290153790;0:26:43;ESA 2018 (Stream One)
Sat 28 Jul 2018 10:59:00 +0200;[The Legend of Zelda: Ocarina of Time](https://www.speedrun.com/oot#MST);[Amateseru](https://www.twitch.tv/amateseru);Wii;MST;;290179315;2:11:13;ESA 2018 (Stream One)
Sat 28 Jul 2018 13:19:00 +0200;[The Legend of Zelda: The Wind Waker HD](https://www.speedrun.com/twwhd);[Linkus7](https://www.twitch.tv/linkus7);Wii U;Any%;;290200502;1:20:44;ESA 2018 (Stream One)
Sat 28 Jul 2018 15:02:00 +0200;[Super Mario Odyssey](https://www.speedrun.com/smo);[360Chrism](https://www.twitch.tv/360Chrism)|[Isaia](https://www.twitch.tv/Isaia)|[Yoshim_](https://www.twitch.tv/yoshim_);Switch;Any%;Race;290221294;1:06:32;ESA 2018 (Stream One)
Sat 28 Jul 2018 16:32:00 +0200;[Grand Theft Auto III](https://www.speedrun.com/gtaiii#All_Missions);[UltimaOmega07](https://www.twitch.tv/ultimaomega07);PC;All Missions;;290290927;3:04:25;ESA 2018 (Stream One)
Sat 28 Jul 2018 19:42:00 +0200;[Best of NES - BIG10](https://docs.google.com/document/d/1tNJ6hPYdWeveGRxS2QAeQoDUqZ2rsLjyk0pVz_hA-bs/edit#heading=h.q4cn8bbj40in);[InfestedRiche](https://www.twitch.tv/InfestedRiche)|[COOLKID](https://www.twitch.tv/coolkid)|[Yogidamonk](https://www.twitch.tv/yogidamonk)|[JkL87](https://www.twitch.tv/JkL87);NES;Various;;290337103;1:49:55;ESA 2018 (Stream One)
Sun 22 Jul 2018 14:00:00 +0200;[Tales of Berseria](https://www.speedrun.com/berseria#New_Game);[FellVisage](https://www.twitch.tv/fellvisage);PC;Any% (NG);;287869732;4:45:08;ESA 2018 (Stream Two)
Sun 22 Jul 2018 19:20:00 +0200;[Blossom Tales: The Sleeping King](https://www.speedrun.com/Blossom_Tales_The_Sleeping_King#All_Bosses);[Wiredwicky](https://www.twitch.tv/wiredwicky);Switch;All Bosses;;287896233;0:58:20;ESA 2018 (Stream Two)
Sun 22 Jul 2018 20:35:00 +0200;[Ristar](https://www.speedrun.com/Ristar#Any);[TC_Qlex](https://www.twitch.tv/tc_qlex);Megadrive;Any%;;287929272;0:38:24;ESA 2018 (Stream Two)
Sun 22 Jul 2018 21:20:00 +0200;[Pokémon Snap](https://www.speedrun.com/pkmnsnap#100);[DanteDoes](https://www.twitch.tv/dantedoes);N64;100%;;287949873;0:31:17;ESA 2018 (Stream Two)
Sun 22 Jul 2018 22:00:00 +0200;[Dog's Life](https://www.speedrun.com/Dogs_Life#No_Major_Skips);[zoton2](https://www.twitch.tv/zoton2);PS2;No Major Skips;;287993169;1:41:57;ESA 2018 (Stream Two)
Mon 23 Jul 2018 00:05:00 +0200;[Chroma Squad](https://www.speedrun.com/Chroma_Squad);[Chfou](https://www.twitch.tv/chfou);PC;Any% Legacy (Casual);;288170528;1:54:15;ESA 2018 (Stream Two)
Mon 23 Jul 2018 10:00:00 +0200;[Clumsy Fred](https://www.speedrun.com/flop);[ZooKetra](https://www.twitch.tv/zooketra);PC;Any% (60 Levels);;288151224;0:17:48;ESA 2018 (Stream Two)
Mon 23 Jul 2018 10:30:00 +0200;[Dora the Explorer: Dora's World Adventure](https://www.speedrun.com/Dora_the_Explorer_Doras_World_Adventure);[Mr_Brood](https://www.twitch.tv/Mr_Brood);GBS (Emu);Story mode;;288153590;0:12:27;ESA 2018 (Stream Two)
Mon 23 Jul 2018 10:53:00 +0200;[Sítio do Picapau Amarelo](https://www.speedrun.com/Sitio_do_Picapau_Amarelo);[KrazyRasmus](https://www.twitch.tv/krazyrasmus);Sega Master System;Any%;;288158712;0:16:54;ESA 2018 (Stream Two)
Mon 23 Jul 2018 11:23:00 +0200;[Pingu: Sekai de Ichiban Genki na Penguin](https://www.speedrun.com/pingugb);[linkboss](https://www.twitch.tv/linkboss);GB;Any%;;288162197;0:13:22;ESA 2018 (Stream Two)
Mon 23 Jul 2018 11:48:00 +0200;[Wild Animal Racing](https://www.speedrun.com/war);[Shigan_](https://www.twitch.tv/shigan_);PC;All Cups;;288165442;0:18:05;ESA 2018 (Stream Two)
Mon 23 Jul 2018 12:18:00 +0200;[Nikita: The Mystery of The Hidden Treasure](https://www.speedrun.com/Nikita_The_Mystery_of_The_Hidden_Treasure);[Janmumrik](https://www.twitch.tv/janmumrik);PC;Any%;;288169993;0:16:12;ESA 2018 (Stream Two)
